1,"Hello, how are you?","Hola, ¿cómo estás?","Bonjour, comment allez-vous?","Hallo, wie geht es dir?"
2,"The weather is nice today.","El clima está bonito hoy.","Il fait beau aujourd'hui.","Das Wetter ist heute schön."
3,"I love reading books.","Me encanta leer libros.","J'aime lire des livres.","Ich liebe es, Bücher zu lesen."
4,"Thank you for your help.","Gracias por tu ayuda.","Merci pour votre aide.","Danke für deine Hilfe."
5,"Where is the nearest restaurant?","¿Dónde está el restaurante más cercano?","Où est le restaurant le plus proche?","Wo ist das nächste Restaurant?"
6,"This is a beautiful day.","Este es un día hermoso.","C'est une belle journée.","Das ist ein schöner Tag."
7,"I need to buy groceries.","Necesito comprar comestibles.","Je dois acheter des provisions.","Ich muss Lebensmittel kaufen."
8,"The movie was very interesting.","La película fue muy interesante.","Le film était très intéressant.","Der Film war sehr interessant."
9,"Can you help me with this?","¿Puedes ayudarme con esto?","Pouvez-vous m'aider avec ça?","Kannst du mir dabei helfen?"
10,"I'm learning a new language.","Estoy aprendiendo un nuevo idioma.","J'apprends une nouvelle langue.","Ich lerne eine neue Sprache."
11,"What time is it?","¿Qué hora es?","Quelle heure est-il?","Wie spät ist es?"
12,"I'm hungry.","Tengo hambre.","J'ai faim.","Ich habe Hunger."
13,"The book is on the table.","El libro está en la mesa.","Le livre est sur la table.","Das Buch liegt auf dem Tisch."
14,"I like coffee.","Me gusta el café.","J'aime le café.","Ich mag Kaffee."
15,"Good morning!","¡Buenos días!","Bonjour!","Guten Morgen!"
16,"How much does this cost?","¿Cuánto cuesta esto?","Combien ça coûte?","Wie viel kostet das?"
17,"I don't understand.","No entiendo.","Je ne comprends pas.","Ich verstehe nicht."
18,"Please speak slowly.","Por favor habla despacio.","Parlez lentement, s'il vous plaît.","Bitte sprechen Sie langsam."
19,"Where is the bathroom?","¿Dónde está el baño?","Où sont les toilettes?","Wo ist die Toilette?"
20,"I'm sorry.","Lo siento.","Je suis désolé.","Es tut mir leid."
