ID,Sentence,ES,FR,DE
1,"Hello, how are you?","Hola, ¿cómo estás?","Bonjour, comment allez-vous?","Hallo, wie geht es dir?"
2,"The weather is nice today.","El clima está bonito hoy.","Il fait beau aujourd'hui.","Das Wetter ist heute schön."
3,"I love reading books.","Me encanta leer libros.","J'aime lire des livres.","Ich liebe es, Bücher zu lesen."
4,"Thank you for your help.","Gracias por tu ayuda.","Merci pour votre aide.","Danke für deine Hilfe."
5,"Where is the nearest restaurant?","¿Dónde está el restaurante más cercano?","Où est le restaurant le plus proche?","Wo ist das nächste Restaurant?"
6,"This is a beautiful day.","Este es un día hermoso.","C'est une belle journée.","Das ist ein schöner Tag."
7,"I need to buy groceries.","Necesito comprar comestibles.","Je dois acheter des provisions.","Ich muss Lebensmittel kaufen."
8,"The movie was very interesting.","La película fue muy interesante.","Le film était très intéressant.","Der Film war sehr interessant."
9,"Can you help me with this?","¿Puedes ayudarme con esto?","Pouvez-vous m'aider avec ça?","Kannst du mir dabei helfen?"
10,"I'm learning a new language.","Estoy aprendiendo un nuevo idioma.","J'apprends une nouvelle langue.","Ich lerne eine neue Sprache."
